gamma_result,ref,LP
3165.6245,3177.4663,537.7238
3154.007,3177.7773,537.6504
3133.6187,3174.4697,537.63
3095.23,3158.3184,537.7079
3050.636,3141.9727,537.9078
3036.4187,3142.502,538.15894
3094.0222,3139.0933,538.4572
3202.7705,3182.0703,538.6335
3252.9395,3224.0986,538.412
3219.3962,3227.3582,538.2824
3195.2224,3226.178,538.6783
3192.9084,3225.091,539.1766
3194.292,3219.8796,539.4056
3209.6025,3208.1353,539.4693
3208.01,3209.5903,539.56476
3183.735,3200.356,539.81274
3158.827,3196.093,540.18475
3167.035,3216.8298,540.55756
3190.8206,3225.4116,540.7994
3207.4539,3240.6875,540.8746
3225.8364,3251.3916,540.98175
3207.136,3222.362,541.09937
3173.514,3204.8242,541.2833
3175.1743,3202.952,541.5205
3188.0442,3199.2231,541.6167
3198.2527,3218.72,541.6054
3217.3599,3230.1692,541.61127
3209.1924,3202.8818,541.5846
3178.6003,3189.4294,541.57275
3183.9878,3194.9404,541.6498
3204.7158,3192.7134,541.6311
3194.6006,3202.4624,541.4808
3193.5693,3211.706,541.47217
3204.834,3203.2393,541.5418
3198.0493,3199.7703,541.47595
3205.603,3212.9375,541.32275
3216.9226,3218.9893,541.1507
3207.26,3209.8733,540.9899
3205.1038,3201.0615,540.9721
3197.4783,3177.5552,540.93427
3167.7554,3166.5679,540.86487
3156.0813,3175.4856,540.8972
3168.7827,3180.0266,540.9906
3178.5908,3205.5422,541.0505
3189.862,3219.2708,541.0588
3181.0498,3192.2961,541.0345
3156.3042,3173.8306,541.08765
3165.292,3171.3047,541.2323
3183.5408,3171.6003,541.29333
3190.932,3179.2793,541.2487
3202.9902,3183.4348,541.2144
3183.0454,3166.0078,541.182
3145.6814,3158.1458,541.27966
3157.5999,3163.2188,541.54425
3182.2188,3166.504,541.6496
3189.1475,3187.0261,541.583
3205.0376,3195.7473,541.5641
3201.505,3185.4229,541.6015
3173.065,3182.2263,541.70245
3174.7336,3194.2905,541.90405
3192.431,3196.013,542.02454
3190.2231,3213.347,542.0076
3199.96,3230.0151,542.0361
3188.2622,3210.4592,542.07526
3151.987,3197.291,542.1728
3160.5095,3205.6116,542.35474
3180.652,3206.923,542.43805
3193.78,3207.5442,542.3971
3219.4429,3215.6162,542.3434
3205.149,3204.846,542.26465
3167.2368,3194.7246,542.29535
3176.8032,3194.99,542.4159
3203.9998,3192.7224,542.4197
3217.743,3204.67,542.22815
3235.0063,3215.0674,542.01215
3218.5623,3201.2146,541.8344
3169.9856,3191.2476,541.78845
3154.8762,3187.967,541.8708
3172.4106,3183.1982,541.90356
3188.9353,3186.9639,541.7774
3205.207,3192.4053,541.59863
3194.2515,3186.0625,541.47614
3162.394,3181.801,541.4755
3171.8745,3169.1943,541.5197
3198.5117,3160.8926,541.4786
3211.9268,3189.483,541.3026
3226.8198,3204.7983,541.15326
3205.3452,3191.23,541.04584
3157.5974,3186.1252,541.0357
3144.9985,3206.6235,541.1063
3150.946,3214.8672,541.107
3157.0156,3226.0325,541.05676
3182.3948,3235.4749,540.99133
3181.1177,3211.9243,540.88965
3146.6895,3197.8184,540.82776
3132.9978,3189.9832,540.8954
3144.551,3184.1177,540.9983
