x,y,z
-18.0,5.5,-3.333333
-18.0,5.0,-3.333333
-18.0,4.5,-3.333333
-18.0,4.0,-3.333333
-18.0,3.5,-3.333333
-18.0,3.0,-3.333333
-18.0,2.5,-3.333333
-18.0,2.0,-3.333333
-18.0,1.5,-3.333333
-18.0,1.0,-3.333333
-18.0,0.5,-3.333333
-18.0,0.0,-3.333333
-18.0,-0.5,-3.333333
-18.0,8.0,-3.333333
-18.0,-1.0,-3.333333
-18.0,8.5,-3.333333
-18.0,9.5,-3.333333
-18.0,18.0,-3.333333
-18.0,17.5,-3.333333
-18.0,17.0,-3.333333
-18.0,16.5,-3.333333
-18.0,16.0,-3.333333
-18.0,15.5,-3.333333
-18.0,15.0,-3.333333
-18.0,14.5,-3.333333
-18.0,14.0,-3.333333
-18.0,13.5,-3.333333
-18.0,13.0,-3.333333
-18.0,12.5,-3.333333
-18.0,12.0,-3.333333
-18.0,11.5,-3.333333
-18.0,11.0,-3.333333
-18.0,10.5,-3.333333
-18.0,10.0,-3.333333
-18.0,9.0,-3.333333
-17.5,14.0,-3.333333
-18.0,-1.5,-3.333333
-18.0,-2.5,-3.333333
-18.0,-13.5,-3.333333
-18.0,-14.0,-3.333333
-18.0,-14.5,-3.333333
-18.0,-15.0,-3.333333
-18.0,-15.5,-3.333333
-18.0,-16.0,-3.333333
-18.0,-16.5,-3.333333
-18.0,-17.0,-3.333333
-18.0,-17.5,-3.333333
-18.0,-18.0,-3.333333
-17.5,18.0,-3.333333
-17.5,17.5,-3.333333
-17.5,17.0,-3.333333
-17.5,16.5,-3.333333
-17.5,16.0,-3.333333
-17.5,15.5,-3.333333
-17.5,15.0,-3.333333
-18.0,-13.0,-3.333333
-18.0,-2.0,-3.333333
-18.0,-12.5,-3.333333
-18.0,-11.5,-3.333333
-18.0,-3.0,-3.333333
-18.0,-3.5,-3.333333
-18.0,-4.0,-3.333333
-18.0,-4.5,-3.333333
-18.0,-5.0,-3.333333
-18.0,-5.5,-3.333333
-18.0,-6.0,-3.333333
-18.0,-6.5,-3.333333
-18.0,-7.0,-3.333333
-18.0,-7.5,-3.333333
-18.0,-8.0,-3.333333
-18.0,-8.5,-3.333333
-18.0,-9.0,-3.333333
-18.0,-9.5,-3.333333
-18.0,-10.0,-3.333333
-18.0,-10.5,-3.333333
-18.0,-11.0,-3.333333
-18.0,-12.0,-3.333333
21.666666,21.666666,-3.333333
-17.0,8.5,-3.333333
-17.0,7.5,-3.333333
-16.5,-9.0,-3.333333
-16.5,-9.5,-3.333333
-16.5,-10.0,-3.333333
-16.5,-10.5,-3.333333
-16.5,-11.0,-3.333333
-16.5,-11.5,-3.333333
-16.5,-12.0,-3.333333
-16.5,-12.5,-3.333333
-16.5,-13.0,-3.333333
-16.5,-13.5,-3.333333
-16.5,-14.0,-3.333333
-16.5,-14.5,-3.333333
-16.5,-15.0,-3.333333
-16.5,-15.5,-3.333333
-16.5,-16.0,-3.333333
-16.5,-16.5,-3.333333
-16.5,-17.0,-3.333333
-16.5,-8.5,-3.333333
-16.5,-17.5,-3.333333
-16.5,-8.0,-3.333333
-16.5,-7.0,-3.333333
-16.5,1.5,-3.333333
-16.5,1.0,-3.333333
-16.5,0.5,-3.333333
-16.5,0.0,-3.333333
-16.5,-0.5,-3.333333
-16.5,-1.0,-3.333333
-16.5,-1.5,-3.333333
-16.5,-2.0,-3.333333
-16.5,-2.5,-3.333333
-16.5,-3.0,-3.333333
-16.5,-3.5,-3.333333
-16.5,-4.0,-3.333333
-16.5,-4.5,-3.333333
-16.5,-5.0,-3.333333
-16.5,-5.5,-3.333333
-16.5,-6.0,-3.333333
-16.5,-6.5,-3.333333
-16.5,-7.5,-3.333333
-16.5,2.0,-3.333333
-16.5,-18.0,-3.333333
-16.0,17.5,-3.333333
-16.0,6.5,-3.333333
-16.0,6.0,-3.333333
-16.0,5.5,-3.333333
-16.0,5.0,-3.333333
-16.0,4.5,-3.333333
-16.0,4.0,-3.333333
-16.0,3.5,-3.333333
-16.0,3.0,-3.333333
-16.0,2.5,-3.333333
-16.0,2.0,-3.333333
-16.0,1.5,-3.333333
-16.0,1.0,-3.333333
-16.0,0.5,-3.333333
-16.0,0.0,-3.333333
-16.0,-0.5,-3.333333
-16.0,-1.0,-3.333333
-16.0,-1.5,-3.333333
-16.0,7.0,-3.333333
-16.0,18.0,-3.333333
-16.0,7.5,-3.333333
-16.0,8.5,-3.333333
-16.0,17.0,-3.333333
-16.0,16.5,-3.333333
-16.0,16.0,-3.333333
-16.0,15.5,-3.333333
-16.0,15.0,-3.333333
-16.0,14.5,-3.333333
-16.0,14.0,-3.333333
-16.0,13.5,-3.333333
-16.0,13.0,-3.333333
-16.0,12.5,-3.333333
-16.0,12.0,-3.333333
-16.0,11.5,-3.333333
-16.0,11.0,-3.333333
-16.0,10.5,-3.333333
-16.0,10.0,-3.333333
-16.0,9.5,-3.333333
-16.0,9.0,-3.333333
-16.0,8.0,-3.333333
-17.0,8.0,-3.333333
-16.5,2.5,-3.333333
-16.5,3.5,-3.333333
-17.0,-3.5,-3.333333
-17.0,-4.0,-3.333333
-17.0,-4.5,-3.333333
-17.0,-5.0,-3.333333
-17.0,-5.5,-3.333333
-17.0,-6.0,-3.333333
